date,holiday
2016-01-01,Новий рік
2016-01-07,Різдво Христове
2016-03-08,Міжнародний жіночий день
2016-05-01,Великдень
2016-05-01,День праці
2016-05-09,День Перемоги
2016-06-19,Трійця
2016-06-28,День Конcтитуції України
2016-08-24,День незaлежності України
2016-10-14,День захисника України
2017-01-01,Новий рік
2017-01-07,Різдво Христове
2017-03-08,Міжнародний жіночий день
2017-04-16,Великдень
2017-05-01,День праці
2017-05-09,День Перемоги
2017-06-04,Трійця
2017-06-28,День Конcтитуції України
2017-08-24,День незaлежності України
2017-10-14,День захисника України
2018-01-01,Новий рік
2018-01-07,Різдво Христове
2018-03-08,Міжнародний жіночий день
2018-04-08,Великдень
2018-05-01,День праці
2018-05-09,День Перемоги
2018-05-27,Трійця
2018-06-28,День Конcтитуції України
2018-08-24,День незaлежності України
2018-10-14,День захисника України
2018-12-25,Католицьке Різдво
2019-01-01,Новий рік
2019-01-07,Різдво Христове
2019-03-08,Міжнародний жіночий день
2019-04-28,Великдень
2019-05-01,День праці
2019-05-09,День Перемоги
2019-06-16,Трійця
2019-06-28,День Конcтитуції України
2019-08-24,День незaлежності України
2019-10-14,День захисника України
2019-12-25,Католицьке Різдво
2020-01-01,Новий рік
2020-01-07,Різдво Христове
2020-03-08,Міжнародний жіночий день
2020-04-19,Великдень
2020-05-01,День праці
2020-05-09,День Перемоги
2020-06-07,Трійця
2020-06-28,День Конcтитуції України
2020-08-24,День незaлежності України
2020-10-14,День захисника України
2020-12-25,Католицьке Різдво
2021-01-01,Новий рік
2021-01-07,Різдво Христове
2021-03-08,Міжнародний жіночий день
2021-05-01,День праці
2021-05-02,Великдень
2021-05-09,День Перемоги
2021-06-20,Трійця
2021-06-28,День Конcтитуції України
2021-08-24,День незaлежності України
2021-10-14,День захисника України
2021-12-25,Католицьке Різдво
2022-01-01,Новий рік
2022-01-07,Різдво Христове
2022-03-08,Міжнародний жіночий день
2022-04-24,Великдень
2022-05-01,День праці
2022-05-09,День Перемоги
2022-06-12,Трійця
2022-06-28,День Конcтитуції України
2022-08-24,День незaлежності України
2022-10-14,День захисника України
2022-12-25,Католицьке Різдво
